GSM,722,7,701,10170,0,-68.4629,-39.0232,23709,50,1,1365724950,1736814422,0
GSM,722,7,1101,28475,0,-68.1582,-31.8521,12409,27,1,1376245771,1742250726,0
UMTS,722,310,11142,23598419,0,-64.1813,-31.3551,3569,25,1,1458883306,1755992341,0
LTE,722,310,23204,1163267,0,-60.7109,-31.6415,1694,20,1,1478220395,1744735741,0
GSM,722,7,701,5182,0,-67.747,-37.72,9406,28,1,1405470502,1735921142,0
GSM,722,7,1901,11033,0,-59.3638,-35.3762,22272,27,1,1405619952,1735832105,0
GSM,722,34,101,1421,0,-64.1996,-33.145,2615,50,1,1408660247,1742250904,0
GSM,722,34,101,1039,0,-63.7284,-33.2695,11452,28,1,1408660258,1742250944,0
UMTS,722,310,13120,24945805,379,-59.4867,-33.8899,2748,50,1,1458883447,1770961082,0
GSM,722,7,102,2983,0,-68.1974,-54.8281,9167,49,1,1428804580,1728835502,0
LTE,722,34,15102,128264450,0,-58.7204,-34.4562,4783,39,1,1441584647,1742250364,0
GSM,722,7,1902,5396,0,-58.7456,-35.0486,6968,50,1,1443785925,1736976185,0
UMTS,722,310,13204,24457620,274,-60.7083,-31.6401,1000,14,1,1444080850,1745371202,0
LTE,722,34,15105,128078593,0,-58.4144,-34.5938,1000,12,1,1445433254,1756608601,0
GSM,722,7,102,28461,0,-68.2957,-54.8344,10996,45,1,1452910191,1728991322,0
GSM,722,7,102,2982,0,-68.2558,-54.8244,9291,19,1,1452910190,1728835502,0
GSM,722,7,102,2984,0,-68.3188,-54.8197,5485,17,1,1452910190,1728835502,0
GSM,722,7,102,30638,0,-68.3186,-54.8287,4182,28,1,1453239139,1733719921,0
LTE,722,34,15115,128799744,0,-58.5182,-34.7367,3946,27,1,1458003761,1736976241,0
LTE,722,34,15109,128080385,0,-58.369,-34.6282,1000,11,1,1458218309,1755304983,0
LTE,722,34,15107,128009728,0,-58.3828,-34.6177,1000,11,1,1458251904,1757976661,0
LTE,722,34,15109,128070658,0,-58.3934,-34.6229,1179,18,1,1458310872,1738893484,0
LTE,722,34,15107,128099842,0,-58.3996,-34.6205,1000,23,1,1458310872,1735518542,0
LTE,722,34,15109,128070656,0,-58.3887,-34.6238,1000,11,1,1458310872,1738893484,0
LTE,722,34,15107,128052224,0,-58.4005,-34.6186,1009,18,1,1458310872,1735518542,0
LTE,722,34,15105,128018945,0,-58.4714,-34.5764,1000,24,1,1458397872,1735246682,0
LTE,722,34,15105,128027138,0,-58.4533,-34.5961,1176,50,1,1458397872,1737231843,0
LTE,722,34,15105,128022786,0,-58.4583,-34.5845,1999,34,1,1458397872,1740140642,0
UMTS,722,310,13128,23045530,0,-61.3664,-32.8499,3264,13,1,1458556838,1770961082,0
UMTS,722,310,13128,23045603,0,-61.4819,-32.8314,6399,9,1,1458556838,1770961082,0
UMTS,722,310,13204,24457619,346,-60.7157,-31.6529,1000,14,1,1458556851,1729095963,0
UMTS,722,310,13204,24467641,20,-60.7229,-31.6615,1211,9,1,1458556852,1729095963,0
UMTS,722,310,13204,24467620,17,-60.7086,-31.6344,753,46,1,1458556852,1745371202,0
UMTS,722,310,13204,24462284,274,-60.7073,-31.6421,1000,15,1,1458556852,1745371202,0
UMTS,722,310,13204,24457635,32,-60.7075,-31.6326,1000,12,1,1458556851,1745371201,0
UMTS,722,310,13204,24472297,20,-60.722,-31.6605,1080,11,1,1458556853,1729095963,0
UMTS,722,310,13128,23020667,0,-61.3735,-32.842,2940,8,1,1458883462,1752798902,0
LTE,722,34,15106,128003841,0,-58.3771,-34.6131,1000,5,1,1458561499,1754701083,0
UMTS,722,7,4471,1871202,454,-58.3821,-34.5968,1000,5,1,1458569161,1735242722,0
LTE,722,7,2361,140416258,0,-64.2481,-31.3713,1000,11,1,1458573594,1766595481,0
LTE,722,7,4509,103197441,0,-58.4458,-34.6079,1000,18,1,1458573612,1730848441,0
LTE,722,7,4535,105480705,0,-57.9422,-34.9248,1017,22,1,1458573645,1752248402,0
LTE,722,7,4535,105481474,0,-57.9597,-34.9195,1000,13,1,1458573645,1752248402,0
LTE,722,7,4535,105472770,0,-57.9207,-34.9234,1000,15,1,1458573644,1752248402,0
LTE,722,7,4539,103180033,0,-58.4198,-34.5633,876,50,1,1458573647,1766982602,0
LTE,722,34,11792,43554816,0,-58.7633,-27.4897,4991,14,1,1458573667,1746770347,0
LTE,722,34,11790,43536129,0,-58.9811,-27.4457,500,33,1,1458573667,1743563884,0
LTE,722,34,10770,17979136,0,-60.7007,-31.6463,1000,4,1,1458573664,1745352242,0
LTE,722,34,10791,17963522,0,-60.9705,-31.9865,4603,7,1,1458573664,1770659226,0
LTE,722,34,11790,43538434,0,-58.9838,-27.4631,546,31,1,1458573667,1743628021,0
LTE,722,34,11792,43528448,0,-58.7905,-27.4824,3207,30,1,1458573667,1746770347,0
LTE,722,34,11790,43522304,0,-58.9819,-27.4546,500,43,1,1458573667,1743563884,0
LTE,722,34,11794,43523586,0,-58.8348,-27.4708,1884,14,1,1458573667,1744935181,0
LTE,722,34,11792,43528450,0,-58.798,-27.4818,3934,17,1,1458573667,1746770347,0
LTE,722,34,11794,43523585,0,-58.8249,-27.4772,6634,8,1,1458573667,1744935182,0
LTE,722,34,10791,17925122,0,-61.0019,-32.2815,11068,50,1,1458573664,1771371130,0
LTE,722,34,11794,43543041,0,-58.8226,-27.4782,6387,21,1,1458573667,1744935183,0
